type,rgb,rgb_x,rgb_y,nir,nir_x,nir_y
positive,f-018-01.ppm,32,32,f-018-01-sz1.ppm,32,32
positive,f-018-01.ppm,48,32,f-018-01-sz1.ppm,48,32
positive,f-018-01.ppm,64,32,f-018-01-sz1.ppm,64,32
positive,f-018-01.ppm,80,32,f-018-01-sz1.ppm,80,32
positive,f-018-01.ppm,96,32,f-018-01-sz1.ppm,96,32
positive,f-018-01.ppm,112,32,f-018-01-sz1.ppm,112,32
positive,f-018-01.ppm,128,32,f-018-01-sz1.ppm,128,32
positive,f-018-01.ppm,144,32,f-018-01-sz1.ppm,144,32
positive,f-018-01.ppm,160,32,f-018-01-sz1.ppm,160,32
positive,f-018-01.ppm,32,48,f-018-01-sz1.ppm,32,48
positive,f-018-01.ppm,48,48,f-018-01-sz1.ppm,48,48
positive,f-018-01.ppm,64,48,f-018-01-sz1.ppm,64,48
positive,f-018-01.ppm,80,48,f-018-01-sz1.ppm,80,48
positive,f-018-01.ppm,96,48,f-018-01-sz1.ppm,96,48
positive,f-018-01.ppm,112,48,f-018-01-sz1.ppm,112,48
positive,f-018-01.ppm,128,48,f-018-01-sz1.ppm,128,48
positive,f-018-01.ppm,144,48,f-018-01-sz1.ppm,144,48
positive,f-018-01.ppm,160,48,f-018-01-sz1.ppm,160,48
positive,f-018-01.ppm,32,64,f-018-01-sz1.ppm,32,64
positive,f-018-01.ppm,48,64,f-018-01-sz1.ppm,48,64
positive,f-018-01.ppm,64,64,f-018-01-sz1.ppm,64,64
positive,f-018-01.ppm,80,64,f-018-01-sz1.ppm,80,64
positive,f-018-01.ppm,96,64,f-018-01-sz1.ppm,96,64
positive,f-018-01.ppm,112,64,f-018-01-sz1.ppm,112,64
positive,f-018-01.ppm,128,64,f-018-01-sz1.ppm,128,64
positive,f-018-01.ppm,144,64,f-018-01-sz1.ppm,144,64
positive,f-018-01.ppm,160,64,f-018-01-sz1.ppm,160,64
positive,f-018-01.ppm,32,80,f-018-01-sz1.ppm,32,80
positive,f-018-01.ppm,48,80,f-018-01-sz1.ppm,48,80
positive,f-018-01.ppm,64,80,f-018-01-sz1.ppm,64,80
positive,f-018-01.ppm,80,80,f-018-01-sz1.ppm,80,80
positive,f-018-01.ppm,96,80,f-018-01-sz1.ppm,96,80
positive,f-018-01.ppm,112,80,f-018-01-sz1.ppm,112,80
positive,f-018-01.ppm,128,80,f-018-01-sz1.ppm,128,80
positive,f-018-01.ppm,144,80,f-018-01-sz1.ppm,144,80
positive,f-018-01.ppm,160,80,f-018-01-sz1.ppm,160,80
positive,f-018-01.ppm,32,96,f-018-01-sz1.ppm,32,96
positive,f-018-01.ppm,48,96,f-018-01-sz1.ppm,48,96
positive,f-018-01.ppm,64,96,f-018-01-sz1.ppm,64,96
positive,f-018-01.ppm,80,96,f-018-01-sz1.ppm,80,96
positive,f-018-01.ppm,96,96,f-018-01-sz1.ppm,96,96
positive,f-018-01.ppm,112,96,f-018-01-sz1.ppm,112,96
positive,f-018-01.ppm,128,96,f-018-01-sz1.ppm,128,96
positive,f-018-01.ppm,144,96,f-018-01-sz1.ppm,144,96
positive,f-018-01.ppm,160,96,f-018-01-sz1.ppm,160,96
