type,rgb,rgb_x,rgb_y,nir,nir_x,nir_y
positive,00000014_co.ppm,32,32,00000014_ir.ppm,32,32
positive,00000014_co.ppm,96,32,00000014_ir.ppm,96,32
positive,00000014_co.ppm,160,32,00000014_ir.ppm,160,32
positive,00000014_co.ppm,224,32,00000014_ir.ppm,224,32
positive,00000014_co.ppm,288,32,00000014_ir.ppm,288,32
positive,00000014_co.ppm,352,32,00000014_ir.ppm,352,32
positive,00000014_co.ppm,416,32,00000014_ir.ppm,416,32
positive,00000014_co.ppm,480,32,00000014_ir.ppm,480,32
positive,00000014_co.ppm,32,96,00000014_ir.ppm,32,96
positive,00000014_co.ppm,96,96,00000014_ir.ppm,96,96
positive,00000014_co.ppm,160,96,00000014_ir.ppm,160,96
positive,00000014_co.ppm,224,96,00000014_ir.ppm,224,96
positive,00000014_co.ppm,288,96,00000014_ir.ppm,288,96
positive,00000014_co.ppm,352,96,00000014_ir.ppm,352,96
positive,00000014_co.ppm,416,96,00000014_ir.ppm,416,96
positive,00000014_co.ppm,480,96,00000014_ir.ppm,480,96
positive,00000014_co.ppm,32,160,00000014_ir.ppm,32,160
positive,00000014_co.ppm,96,160,00000014_ir.ppm,96,160
positive,00000014_co.ppm,160,160,00000014_ir.ppm,160,160
positive,00000014_co.ppm,224,160,00000014_ir.ppm,224,160
positive,00000014_co.ppm,288,160,00000014_ir.ppm,288,160
positive,00000014_co.ppm,352,160,00000014_ir.ppm,352,160
positive,00000014_co.ppm,416,160,00000014_ir.ppm,416,160
positive,00000014_co.ppm,480,160,00000014_ir.ppm,480,160
positive,00000014_co.ppm,32,224,00000014_ir.ppm,32,224
positive,00000014_co.ppm,96,224,00000014_ir.ppm,96,224
positive,00000014_co.ppm,160,224,00000014_ir.ppm,160,224
positive,00000014_co.ppm,224,224,00000014_ir.ppm,224,224
positive,00000014_co.ppm,288,224,00000014_ir.ppm,288,224
positive,00000014_co.ppm,352,224,00000014_ir.ppm,352,224
positive,00000014_co.ppm,416,224,00000014_ir.ppm,416,224
positive,00000014_co.ppm,480,224,00000014_ir.ppm,480,224
positive,00000014_co.ppm,32,288,00000014_ir.ppm,32,288
positive,00000014_co.ppm,96,288,00000014_ir.ppm,96,288
positive,00000014_co.ppm,160,288,00000014_ir.ppm,160,288
positive,00000014_co.ppm,224,288,00000014_ir.ppm,224,288
positive,00000014_co.ppm,288,288,00000014_ir.ppm,288,288
positive,00000014_co.ppm,352,288,00000014_ir.ppm,352,288
positive,00000014_co.ppm,416,288,00000014_ir.ppm,416,288
positive,00000014_co.ppm,480,288,00000014_ir.ppm,480,288
positive,00000014_co.ppm,32,352,00000014_ir.ppm,32,352
positive,00000014_co.ppm,96,352,00000014_ir.ppm,96,352
positive,00000014_co.ppm,160,352,00000014_ir.ppm,160,352
positive,00000014_co.ppm,224,352,00000014_ir.ppm,224,352
positive,00000014_co.ppm,288,352,00000014_ir.ppm,288,352
positive,00000014_co.ppm,352,352,00000014_ir.ppm,352,352
positive,00000014_co.ppm,416,352,00000014_ir.ppm,416,352
positive,00000014_co.ppm,480,352,00000014_ir.ppm,480,352
